Pipe_Size_mm,Thickness_mm,Material,Grade,Max_Pressure_psi,Temperature_C,Corrosion_Impact_Percent,Thickness_Loss_mm,Material_Loss_Percent,Time_Years,Condition,pH,flowrate_cmh,source
800.0,15.48,Carbon Steel,ASTM A333 Grade 6,300.0,84.9,16.04,4.91,31.72,2.0,Moderate,8.12,3555.68,original
800.0,22.0,PVC,ASTM A106 Grade B,150.0,14.1,7.38,7.32,33.27,4.0,Critical,7.94,1777.84,original
400.0,12.05,Carbon Steel,API 5L X52,2500.0,0.6,2.12,6.32,52.45,7.0,Critical,7.98,1633.13,original
1500.0,38.72,Carbon Steel,API 5L X42,1500.0,52.7,5.58,6.2,16.01,19.0,Critical,7.95,24772.84,original
1500.0,24.32,HDPE,API 5L X65,1500.0,11.7,12.29,8.58,35.28,20.0,Critical,7.9,24772.84,original
600.0,16.75,Fiberglass,API 5L X52,600.0,67.3,2.06,5.21,31.1,11.0,Critical,7.98,3804.59,original
200.0,9.94,Carbon Steel,ASTM A106 Grade B,1500.0,89.6,1.34,5.86,58.95,6.0,Critical,7.99,366.44,original
300.0,13.87,Carbon Steel,ASTM A106 Grade B,900.0,40.8,5.57,3.02,21.77,21.0,Moderate,8.2,886.68,original
150.0,8.86,Fiberglass,API 5L X65,300.0,3.2,13.84,2.47,27.88,19.0,Moderate,8.13,98.77,original
800.0,25.78,Stainless Steel,ASTM A333 Grade 6,150.0,11.6,18.68,0.53,2.06,1.0,Normal,8.34,1777.84,original
300.0,11.52,Stainless Steel,ASTM A333 Grade 6,900.0,100.4,12.23,8.8,76.39,13.0,Critical,7.9,886.68,original
1000.0,20.58,PVC,API 5L X65,900.0,67.5,14.33,7.32,35.57,6.0,Critical,7.88,10861.87,original
300.0,13.03,Stainless Steel,ASTM A106 Grade B,600.0,9.7,14.93,0.85,6.52,6.0,Normal,8.38,886.68,original
150.0,5.19,HDPE,ASTM A333 Grade 6,300.0,43.6,16.02,6.12,117.92,13.0,Critical,7.87,98.77,original
300.0,15.48,Carbon Steel,API 5L X42,600.0,63.4,13.65,9.21,59.5,7.0,Critical,7.89,886.68,original
100.0,6.0,Fiberglass,API 5L X65,1500.0,60.1,18.79,7.01,116.83,21.0,Critical,7.84,72.38,original
600.0,10.56,Stainless Steel,ASTM A106 Grade B,1500.0,145.1,11.2,1.61,15.25,8.0,Normal,8.41,3804.59,original
300.0,10.87,PVC,ASTM A333 Grade 6,900.0,63.9,10.99,0.04,0.37,18.0,Normal,8.41,886.68,original
100.0,7.21,PVC,ASTM A106 Grade B,600.0,13.6,4.51,3.16,43.83,22.0,Moderate,8.21,72.38,original
100.0,5.49,Carbon Steel,API 5L X42,900.0,52.6,16.25,4.23,77.05,13.0,Moderate,8.11,72.38,original
300.0,11.14,Stainless Steel,ASTM A106 Grade B,900.0,33.0,16.23,9.67,86.8,24.0,Critical,7.86,886.68,original
100.0,5.68,Carbon Steel,ASTM A106 Grade B,1500.0,45.3,12.17,7.59,133.63,10.0,Critical,7.9,72.38,original
